;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments;group;level;days;period;day_of_period;interval;scope;pupils_m;pupils_d;attention_m;attention_d;interactions_m;interactions_d;vector_interact;vector_intention;vector_attention
10;973;П1.1;09.02.2022;132;719;721;720;;;;4.0;;;;18.0;;;;4.0;;;;Работой удовлетворены. Никаких изменений на уроке не требуется.;Распределение внимания учителя;1;26;1;26;;1.0;;;;;;;;;
11;1070;П1.1;11.02.2022;133;725;726;724;;;;12.0;;;;42.0;;;;10.0;;;;уроком удовлетворены. Нужно включить в работу новые приемы, чтобы все дети начали активно взаимодействовать с педагогом.;Распределение внимания учителя;1;28;1;28;7.0;0.8333333333333334;;;;;;;;;
12;233;П1.1;12.02.2022;70;494;493;492;;;;2.0;;;;8.0;;;;2.0;;;;"Урок русского языка в 4 классе по теме ""Сочинение-отзыв по картине Н. К. Рериха «Заморские гости». От урока только положительные отзывы и эмоции. Но не хватает динимики урока, хотя детки в классе со статусом ОВЗ (ЗПР). Дети охотно отвечают по теме урока, педагог охватывает вниманием весь класс(2 ученика), работает с ними весь урок в тесном контакте.";Распределение внимания учителя;1;29;1;29;;1.0;;;;;;;;;
13;876;П1.1;13.02.2022;96;625;624;623;;;;6.0;;;;35.0;;;;6.0;;;;На знание и запоминание таблицы сложения с переодом через десяток использовать игровые моменты;Распределение внимания учителя;1;30;1;30;3.0;1.0;;;;;;;;;
14;584;П1.1;14.02.2022;119;861;862;860;;;;19.0;;;;20.0;;;;12.0;;;;Не все дети вовлечены в урок, учитель видит детей и делает им замечания. Но есть дети очень активные.;Распределение внимания учителя;1;31;1;31;;0.631578947368421;;;;;;;;;
15;713;П1.1;14.02.2022;97;628;629;627;;;;2.0;;;;49.0;;;;2.0;;;;Я удовлетворен работой класса. В классе 2 ученика и оба были вовлечены в работу. Учитель уделял внимание обоим ученикам.;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
16;546;П1.1;14.02.2022;94;603;602;599;;;;2.0;;;;20.0;;;;2.0;;;;На знание и запоминание таблицы умножения использовать игровые моменты;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
17;320;П1.1;14.02.2022;91;641;645;639;;;;4.0;;;;19.0;;;;3.0;;;;Я удовлетворенане в полном объёме. Нужно, чтобы вопросы задавались каждому ученику, не зависимо от его активности и способностей. Учительница должна обращаиь внимание на всех. Я могу ей помочь советом, показав реальную картину.;Распределение внимания учителя;1;31;1;31;;0.75;;;;;;;;;
18;322;П1.1;14.02.2022;91;645;641;639;;;;7.0;;;;18.0;;;;5.0;;;;Учитель не опросил всех учеников. Только тех, кто поднимал руки. Необходито указать что всех учеников нужно спрашивать, потому что некоторые могут быть просто не уверены в себе.  ;Распределение внимания учителя;1;31;1;31;;0.7142857142857143;;;;;;;;;
19;593;П1.1;14.02.2022;119;852;853;851;;;;22.0;;;;12.0;;;;8.0;;;;Нет, не удовлетворена, потому что считаю, что  учитель должен взаимодействовать со всеми обучающимися на каждом зучебном занятии. Будем работать!;Распределение внимания учителя;1;31;1;31;7.0;0.36363636363636365;;;;;;;;;
20;339;П1.1;14.02.2022;133;729;728;727;;;;16.0;;;;58.0;;;;14.0;;;;Работай на уроке удовлетворены. Нужно поработать над поведением активных детей, так как они не дают высказатся остальным.;Распределение внимания учителя;1;31;1;31;;0.875;;;;;;;;;
21;603;П1.1;14.02.2022;89;611;610;609;;;;8.0;;;;23.0;;;;8.0;;;;Методические цели поставленные учителем на уроке достигнуты, все ученики вклчая детей ОВЗ  были задействованы.;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
22;878;П1.1;14.02.2022;96;624;625;623;;;;6.0;;;;40.0;;;;6.0;;;;Для сильного ученика нужна для самостоятельной работы карточка, чтобы ученик не отвлекался;Распределение внимания учителя;1;31;1;31;3.0;1.0;;;;;;;;;
23;631;П1.1;14.02.2022;113;826;827;825;;;;8.0;;;;27.0;;;;6.0;;;;урок прошел успешно. Цели были достигнуты. В процессе урока учитель продемонстрировал такие качества как собранность, доброжелательность в обращении с учащимися. Речь отличалась грамотностью, эмоциональностью. Обучающиеся на уроке были собраны и активны.;Распределение внимания учителя;1;31;1;31;;0.75;;;;;;;;;
24;639;П1.1;14.02.2022;113;827;826;825;;;;11.0;;;;19.0;;;;7.0;;;;На уроке были реализованы цель и поставленные задаччи. Урок прошел на должном уровне. Обучающиеся и учитель получили огромное удовольствие от общения.;Распределение внимания учителя;1;31;1;31;;0.6363636363636364;;;;;;;;;
25;935;П1.1;14.02.2022;72;478;477;476;;;;5.0;;;;120.0;;;;5.0;;;;Поставленной целью на уроке не совсем удовлетворена. Считаю, что необходимо продолжить работу по данной компетенции. ;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
26;938;П1.1;14.02.2022;72;477;478;476;;;;5.0;;;;113.0;;;;5.0;;;;Поставленной целью на уроке не совсем удовлетворена. Считаю, что необходимо продолжить работу по данной компетенции. ;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
27;969;П1.1;14.02.2022;132;721;719;720;;;;2.0;;;;12.0;;;;2.0;;;;Работой удовлетворены, но из двух учащихся класса учитель больше работает с более сильной девочкой (это отметил сам учитель). Поэтому необходима работа по рапределению внимания учителя, давать возможность второй девочке ответить, хоть на это и требуется больше времени.;Распределение внимания учителя;1;31;1;31;;1.0;;;;;;;;;
28;720;П1.1;15.02.2022;97;629;628;627;;;;2.0;;;;48.0;;;;2.0;;;;Я удовлетворена работой класс. Урок прошел активно, учащиеся были вовлечены  в живую заинтересованную беседу,т.к. на уроке  ОБЖ. шла речь о жизненно важной проблемме выборе профессии.;Распределение внимания учителя;1;32;1;32;;1.0;;;;;;;;;
29;1010;П1.1;15.02.2022;85;569;570;568;;;;8.0;;;;19.0;;;;6.0;;;;На следующей встречи обратить внимание на двух учащихся, которые менее активны на уроке.;Распределение внимания учителя;1;32;1;32;;0.75;;;;;;;;;
30;541;П1.1;15.02.2022;94;602;603;599;;;;7.0;;;;39.0;;;;7.0;;;;Для сильного ученика нужна для самостоятельной работы карточка, чтобы ученик не отвлекался;Распределение внимания учителя;1;32;1;32;;1.0;;;;;;;;;
31;116;П1.1;15.02.2022;122;921;922;920;;;;9.0;;;;23.0;;;;9.0;;;;Продолжать работать над данной компетенцией. На следующей встрече рассмотреть прицельный протокол.;Распределение внимания учителя;1;32;1;32;;1.0;;;;;;;;;
32;999;П1.1;15.02.2022;76;501;502;500;;;;5.0;;;;76.0;;;;5.0;;;;В целам работой удовлетворена. В течение урока внимание учителя распределено между всеми учащимися примерно одинаково. Все учащиеся активно включены в деятельность;Распределение внимания учителя;1;32;1;32;;1.0;;;;;;;;;
33;1004;П1.1;15.02.2022;76;502;501;500;;;;5.0;;;;80.0;;;;5.0;;;;В целам работой удовлетворена. В течение урока внимание учителя распределено между всеми учащимися равномерно  с одной из учениц меньшее количество взаимодействий( ребенок ОВЗ). Все обучающиеся в течение урока были активны;Распределение внимания учителя;1;32;1;32;;1.0;;;;;;;;;
34;304;П1.1;16.02.2022;79;535;536;531;;;;9.0;;;;10.0;;;;6.0;;;;"До следующего занятия провести беседу воспитательного характера по теме""Организация учебного процесса"". Договориться с ребенком, чтобы он более ответственно подходил к уроку.";Распределение внимания учителя;1;33;1;33;;0.6666666666666666;;;;;;;;;
35;952;П1.1;16.02.2022;98;632;633;631;;;;3.0;;;;12.0;;;;3.0;;;;Для сильного ученика нужно давать дополнительные задания, так как они выполняют работу намного быстрее.;Распределение внимания учителя;1;33;1;33;;1.0;;;;;;;;;
36;191;П1.1;16.02.2022;111;801;802;792;;;;23.0;;;;20.0;;;;10.0;;;;Результатом удовлетворена. Вносить изменения не требуется.;Распределение внимания учителя;1;33;1;33;;0.43478260869565216;;;;;;;;;
37;198;П1.1;16.02.2022;111;802;801;792;;;;23.0;;;;15.0;;;;8.0;;;;Результатом удовлетворена. Вносить изменения не требуется.;Распределение внимания учителя;1;33;1;33;;0.34782608695652173;;;;;;;;;
38;73;П1.1;17.02.2022;1;664;665;663;;;;11.0;;;;70.0;;;;11.0;;;;удовлетворена;Распределение внимания учителя;1;34;1;34;;1.0;;;;;;;;;
39;1707;П1.1;17.02.2022;131;748;745;744;;;;6.0;;;;65.0;;;;6.0;;;;На протяжении всего урока учитель привлекал к работе всех учеников  весь класс отвечал на поставленные вопросы. Но нужно больше внимания уделять двум ученикам: Яне и Степану.;Распределение внимания учителя;1;34;1;34;3.0;1.0;;;;;;;;;
40;1015;П1.1;17.02.2022;85;570;569;568;;;;10.0;;;;14.0;;;;7.0;;;;На следующей встречи обратить внимание на трех учащихся, которые менее активны на уроке.;Распределение внимания учителя;1;34;1;34;;0.7;;;;;;;;;
41;326;П1.1;17.02.2022;91;644;643;640;;;;4.0;;;;26.0;;;;4.0;;;;Все дети были охвачены вниманием.;Распределение внимания учителя;1;34;1;34;;1.0;;;;;;;;;
42;1129;П1.1;17.02.2022;73;482;481;480;;;;5.0;;;;13.0;;;;5.0;;;;Я полностью удовлетворена уроком. Во первых учителем был охвачен весь класс. Во вторых учитель взаимодействовал как с классом в целом, так и индивидуально с каждым учащимся. Атмосфера на уроке была спокойная, доброжелательная. Все этапы урока были   последовательны. Цель, которую я себе ставлю, это проработать каждый протокол. Работа очень интересная и полезная.;Распределение внимания учителя;1;34;1;34;;1.0;;;;;;;;;
43;666;П1.1;17.02.2022;108;708;707;706;;;;25.0;;;;10.0;;;;10.0;;;;Урок построен с учетом распределения внимания учителя. В образовательный процесс были включены ученики с разным уровнем подготовки. В целом, урок проведене в соотвествии с поставленными задачами.;Распределение внимания учителя;1;34;1;34;;0.4;;;;;;;;;
44;670;П1.1;17.02.2022;108;707;708;706;;;;26.0;;;;15.0;;;;15.0;;;; ;Распределение внимания учителя;1;34;1;34;;0.5769230769230769;;;;;;;;;
45;265;П1.1;18.02.2022;78;555;558;554;;;;2.0;;;;5.0;;;;2.0;;;;Я полностью удовлетворена уроком, можно ничего не менять, все учащиеся взаимодействовали.;Распределение внимания учителя;1;35;1;35;;1.0;;;;;;;;;
46;337;П1.1;18.02.2022;133;729;728;727;;;;16.0;;;;47.0;;;;14.0;;;;Работай на уроке удовлетворены. Нужно разговорить детей, которые молчат.;Распределение внимания учителя;1;35;1;35;4.0;0.875;;;;;;;;;
47;1132;П1.1;18.02.2022;73;481;482;480;;;;8.0;;;;23.0;;;;8.0;;;;Я не совсем удовлетворена уроком. Учитель взаимодействовал со всеми учениками в классе, не все учащиеся были готовы ответить на вопрос учителя. Это связано с неумением слушать  , слышать и запоминать ,что говорит учитель. Основной целью ,считаю выбрать методы, которые бы помогли научить ребят умению слушать и запоминать, что говорит учитель, как он объясняет новый материал. Ведь безвыходной ситуации не бывает.  Нужно над этим работать.;Распределение внимания учителя;1;35;1;35;;1.0;;;;;;;;;
48;757;П1.1;18.02.2022;119;849;850;848;;;;21.0;;;;8.0;;;;12.0;;;; На уроке физкультуры делались замечания детям, неправильно выполнявшим задания.Если дети нарушали дисциплину, учитель давал сигнал свистком.  Предложение перейти к осложнённому протоколу.;Распределение внимания учителя;1;35;1;35;;0.5714285714285714;;;;;;;;;
49;760;П1.1;18.02.2022;119;850;849;848;;;;22.0;;;;22.0;;;;22.0;;;;На этапе  урока - чтение по цепочке - принимали участие все дети  работа с иллюстрацией, работа с текстом 10-12 учащихзся. На уроке каждый ученик имел возможность высказаться. Дети были активны. Предлагаю перейти к осложнённму протоколу, чтобы  посмотреть, кто из ребят пользуется большим вниманием учителя, кого чаще спршивают на уроке.;Распределение внимания учителя;1;35;1;35;;1.0;;;;;;;;;
50;551;П1.1;21.02.2022;117;771;770;773;;;;30.0;;;;14.0;;;;9.0;;;;Удовлетворена работой коллег. На вопрос: нужно ли что-то изменить? Пока не могу ответить. Целью моей работы является качественный показатель результатов, для достижения которой необходима четкая, кропотливая и слаженная работа как классного рук, так и учителей-предметников;Распределение внимания учителя;1;38;1;38;;0.3;;;;;;;;;
51;553;П1.1;21.02.2022;117;770;771;773;;;;21.0;;;;15.0;;;;10.0;;;;Удовлетворена работой коллег. На вопрос: нужно ли что-то изменить? Пока не могу ответить. Целью моей работы является качественный показатель результатов, для достижения которой необходима четкая, кропотливая и слаженная работа как классного рук, так и учителей-предметников;Распределение внимания учителя;1;38;1;38;;0.47619047619047616;;;;;;;;;
52;267;П1.1;21.02.2022;78;558;555;554;;;;4.0;;;;4.0;;;;4.0;;;;Цель урока, уделить внимание учащимся. Во время урока всем ученикам было распределено внимание учителя достаточновнимания. Каждому ученику было предоставлено время для ответа. Уроком удовлетворена в полном объеме.;Распределение внимания учителя;1;38;1;38;;1.0;;;;;;;;;
53;566;П1.1;21.02.2022;131;746;749;747;;;;8.0;;;;63.0;;;;8.0;;;;Все ученики были задействованы.;Распределение внимания учителя;1;38;1;38;;1.0;;;;;;;;;
54;58;П1.1;21.02.2022;120;889;890;888;;;;16.0;;;;9.0;;;;7.0;;;;Удовлетворен посещением урока. Продолжить посещать и проводить уроки по данной методике, как достичь, понимаю.;Распределение внимания учителя;1;38;1;38;;0.4375;;;;;;;;;
55;571;П1.1;21.02.2022;131;745;748;744;;;;7.0;;;;69.0;;;;7.0;;;;Учитель взаимодействовал со всеми обучающими  класса. Пять  учеников были активны на уроке, два - пассивны.  Учителю продумать взаимодействие с пассивными учениками.;Распределение внимания учителя;1;38;1;38;;1.0;;;;;;;;;
56;119;П1.1;21.02.2022;122;922;921;920;;;;9.0;;;;21.0;;;;5.0;;;;Учитель уделил внимание всем ученикам. Опрос с места, вызов к доске, просьба выполнить задание по карточке в тетради. Контроль и помощь при выполнении  самостоятельного задания слабым ученикам.;Распределение внимания учителя;1;38;1;38;;0.5555555555555556;;;;;;;;;
57;991;П1.1;21.02.2022;104;620;621;619;;;;5.0;;;;18.0;;;;5.0;;;;Я довольна работай на уроке, но не все  ученики в классе, не все учащиеся были готовы ответить на вопросы. Приходилось конкретно называть по имени, для ответа на вопрос. Основную цель на уроке достигли ,считаю выбранные мною  методы оправданы. ;Распределение внимания учителя;1;38;1;38;;1.0;;;;;;;;;
58;555;П1.1;22.02.2022;117;774;772;769;;;;11.0;;;;7.0;;;;7.0;;;;в целом удовлетворены. Необходимо создавать на уроке больше заданий и работ,которые для выполнения требует участия всех учеников. Это следует сделать, чтобы каждый ребёнок чувствовал себя частью урока и активно мог принимать участие. Так же для ребят,которые менее активны на уроках, следует поменять систему поощрения, необходимо больше их валить за каждый ответ.;Распределение внимания учителя;1;39;1;39;;0.6363636363636364;;;;;;;;;
59;556;П1.1;22.02.2022;117;772;774;769;;;;21.0;;;;7.0;;;;7.0;;;;в целом удовлетворены. Необходимо создавать на уроке больше заданий и работ,которые для выполнения требует участия всех учеников. Это следует сделать, чтобы каждый ребёнок чувствовал себя частью урока и активно мог принимать участие. Так же для ребят,которые менее активны на уроках, следует поменять систему поощрения, необходимо больше их валить за каждый ответ.;Распределение внимания учителя;1;39;1;39;;0.3333333333333333;;;;;;;;;
60;315;П1.1;22.02.2022;112;787;788;780;;;;29.0;;;;42.0;;;;9.0;;;;не удовлетворена;Распределение внимания учителя;1;39;1;39;;0.3103448275862069;;;;;;;;;
61;1033;П1.1;22.02.2022;124;917;916;918;;;;4.0;;;;38.0;;;;4.0;;;;Голонягина Л.А. :     Я  удовлетворена распределением внимания на уроке ( на базовом уровне).Менять ничего не считаю нужным. Хотела бы поставить цель: удерживать уровень  данной компетенции вне зависимости от темы урока.;Распределение внимания учителя;1;39;1;39;;1.0;;;;;;;;;
62;55;П1.1;22.02.2022;120;890;889;888;;;;26.0;;;;26.0;;;;6.0;;;;Удовлетворена посещением урока. Взаомодействие учителя и учеников надо увеличить.;Распределение внимания учителя;1;39;1;39;;0.23076923076923078;;;;;;;;;
63;1117;П1.1;22.02.2022;124;916;917;918;;;;6.0;;;;26.0;;;;6.0;;;;Швец Л.Д.:  Я удовлетворена сформированностью компетенции распределение внимания (базовый уровень).  Все учащиеся класса получают внимание учителя. Но нужно стремиться уменьшать количество словесных взаимодействий, которые касаются дисциплины.;Распределение внимания учителя;1;39;1;39;;1.0;;;;;;;;;
64;612;П1.1;22.02.2022;71;474;472;471;;;;12.0;;;;15.0;;;;9.0;;;;Да, удовлетворена. Да, нужно, активизировать деятельность некоторых учащихся на уроке. Цель: повысить процент отвечающих на уроке. Можно создать ситуацию успеха для неактивных ребят на уроке  необходимо обращать внимание не только на детей, которые поднимают руки, но и на пассивных тоже. Можно попробовать выделить пассивных учеников - и в следующем протоколе посмотреть на результат. ;Распределение внимания учителя;1;39;1;39;;0.75;;;;;;;;;
65;688;П1.1;22.02.2022;80;546;547;542;;;;9.0;;;;9.0;;;;8.0;;;;Вполне удовлетворена;Распределение внимания учителя;1;39;1;39;;0.8888888888888888;;;;;;;;;
66;51;П1.1;23.02.2022;120;887;886;885;;;;11.0;;;;15.0;;;;8.0;;;;По результатам протокола, я удовлетворен уроком не в полной мере. Нужно распределить концентрацию между сильными и слабыми детьми , т.к. пока учитель работает с сильными учениками, слабые занимаются своими делами. Рекомендую,для охвата всех учеником провести срезовую работу , заранее предупредив .;Распределение внимания учителя;1;40;1;40;;0.7272727272727273;;;;;;;;;
67;1133;П1.1;24.02.2022;89;614;613;612;;;;5.0;;;;30.0;;;;5.0;;;;Я уроком удовлетворена .Внимание учителя было распределенно ко всем учащимся . Учащиеся работали активно. Я ставлю перед собой цель , добиваться того, чтобы на моих уроках  ребята по окончанию урока могли подвести итог своей работы.;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
68;630;П1.1;24.02.2022;74;490;489;488;;;;17.0;;;;19.0;;;;15.0;;;;Мне понравился проведённый урок. Ребята активно принимали участие в работе. Хочу попробовать и поработать еще по кураторской методике и открыть для себя что-то новое.;Распределение внимания учителя;1;41;1;41;;0.8823529411764706;;;;;;;;;
69;1216;П1.1;24.02.2022;103;804;805;806;;;;9.0;;;;;;;;;;;;Да, удовлетворена. Перевести слабых учеников в разряд средних. Хотя бы на 1-2 уроках создатьдля них ситуацию успеха.;Распределение внимания учителя;1;41;1;41;;;;;;;;;;;
70;286;П1.1;24.02.2022;69;485;486;484;;;;5.0;;;;100.0;;;;5.0;;;;Внимание учителя распределено на всех учеников;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
71;44;П1.1;24.02.2022;120;884;883;882;;;;17.0;;;;31.0;;;;17.0;;;;Удовлетворена уроком, Урок прошел в хорошем темпе.  Все обсудили.                                                              Продолжим кураторскую методику с прицельного протокола.Как и что делать уже обсудили.;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
72;344;П1.1;24.02.2022;99;679;681;682;;;;5.0;;;;33.0;;;;5.0;;;;Учитель умеет распредлять внимание.;Распределение внимания учителя;1;41;1;41;22.0;1.0;;;;;;;;;
73;355;П1.1;24.02.2022;93;597;596;595;;;;8.0;;;;37.0;;;;8.0;;;;все получилось. Все ученики класса были охвачены вниманием учителя;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
74;123;П1.1;24.02.2022;122;924;925;923;;;;4.0;;;;23.0;;;;4.0;;;;Удовлетворена . Распределение внимание и на сильных учеников.;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
75;674;П1.1;24.02.2022;108;710;711;709;;;;26.0;;;;30.0;;;;15.0;;;;В ходе урока были задействованы всего 50% учащихся. Чтобы добиться вовлечения большего убучающихся, можно использовать карточки для индивидуальной работы, взаимоконтроль.;Распределение внимания учителя;1;41;1;41;;0.5769230769230769;;;;;;;;;
76;678;П1.1;24.02.2022;108;711;710;709;;;;26.0;;;;39.0;;;;10.0;;;;Необходимо увеличить % вовлеченных в работу обучающихся. Использовать метод взаимопроверки, групповую работу, работу по индивидуальным карточкам;Распределение внимания учителя;1;41;1;41;;0.38461538461538464;;;;;;;;;
77;1235;П1.1;24.02.2022;80;547;546;542;;;;13.0;;;;46.0;;;;13.0;;;;;Распределение внимания учителя;1;41;1;41;;1.0;;;;;;;;;
78;1623;П1.1;25.02.2022;89;613;614;612;;;;5.0;;;;32.0;;;;5.0;;;;В работу на уроке  были включены абсолютно все ученики. Учитель правильно распределил внимание среди класса, вел урок не выделяя и не ущемляя никого из учеников. Урок понравился, но хотелось бы, чтобы какую-то часть материала ребята выполняли самостоятельно.;Распределение внимания учителя;1;42;1;42;;1.0;;;;;;;;;
79;1026;П1.1;25.02.2022;124;914;915;913;;;;7.0;;;;71.0;;;;7.0;;;;Миликова Л.Б.: Своим уроком удовлетворена. Исследуемая компетенция проявилась достаточно полно. Слепые зоны отсутствовали.Меньше внимания досталось ученикам за первой партой первого ряда. В  дальнейшем стоит уделить больше внимания этим ученикам.;Распределение внимания учителя;1;42;1;42;;1.0;;;;;;;;;
80;292;П1.1;25.02.2022;69;486;485;484;;;;6.0;;;;13.0;;;;6.0;;;;Все ученики охвачены вниманием учителя. Но в разной степени.;Распределение внимания учителя;1;42;1;42;;1.0;;;;;;;;;
81;41;П1.1;25.02.2022;120;883;884;882;;;;19.0;;;;27.0;;;;19.0;;;;Удовлетворена уроком, Урок прошел в хорошем темпе.                                                                Продолжим кураторскую методику с прицельного протокола.Как и что делать уже обсудили.;Распределение внимания учителя;1;42;1;42;;1.0;;;;;;;;;
82;1020;П1.1;25.02.2022;124;915;914;913;;;;5.0;;;;39.0;;;;5.0;;;;Кузнецова А.К.: Утовлетворение от урока. Исследуемая компетенция проявилась в полном объеме.;Распределение внимания учителя;1;42;1;42;;1.0;;;;;;;;;
83;1154;П1.1;26.02.2022;128;732;733;731;;;;2.0;;;;16.0;;;;2.0;;;; С точки зрения распределения внимания считаю ничего изменить не надо. .;Распределение внимания учителя;1;43;1;43;;1.0;;;;;;;;;
84;1287;П1.1;28.02.2022;86;590;589;588;;;;11.0;;;;66.0;;;;11.0;;;;;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
85;829;П1.1;28.02.2022;86;589;590;588;;;;12.0;;;;72.0;;;;12.0;;;;На уроке внимание распределено всем учащимся равномерно. Не все учащиеся отвечали на вопросы учителя.В ходе урока применялись различные виды деятельности.;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
86;1625;П1.1;28.02.2022;121;906;911;902;;;;16.0;;;;12.0;;;;5.0;;;;Не все  цели  и задачи поставленные учителем на уроке достигнуты, все ученики вклчая детей ОВЗ  были задействованы. Дисциплина на уроке отсутствует, но учитель старается.;Распределение внимания учителя;1;45;1;45;7.0;0.3125;;;;;;;;;
87;125;П1.1;28.02.2022;122;925;924;923;;;;9.0;;;;26.0;;;;9.0;;;;Полностью удовлетворена уроком.;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
88;1158;П1.1;28.02.2022;128;733;732;731;;;;2.0;;;;31.0;;;;2.0;;;;Да.Внимание равномерно распределено между учащимся. Нужно не снижая уровень распределения внимания, повышать уровень самостоятельной работы учащихся.Для достижения этого нужна комплексная работы всех участников по повышению уровня  мотивацииучащихся.;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
89;648;П1.1;28.02.2022;113;830;829;828;;;;5.0;;;;7.0;;;;5.0;;;;Самостоятельность учащихся в подведении итогов урока позволяет сделать вывод о раскрытии темы и цели урока. Обучающиеся показали хороший уровень самостоятельного мышления, высокую познавательную активность, уроень усвоения и использования материала.;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
90;657;П1.1;28.02.2022;113;829;830;828;;;;9.0;;;;13.0;;;;9.0;;;;Цель и планируемые результаты были достигнуты. На уроке происходило формирование личностных качеств  обучающихся, закреплялись рациональные приемы учебной деятельности. Урок получился инновационным, интересным, познавательным.;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
91;727;П1.1;28.02.2022;106;692;691;693;;;;3.0;;;;3.0;;;;3.0;;;;Внимание учителя к обучающимся распределяется равномерно. В работу на уроке вовлечены все.    ;Распределение внимания учителя;1;45;1;45;;1.0;;;;;;;;;
92;62;П1.1;01.03.2022;1;661;662;660;;;;13.0;;;;9.0;;;;9.0;;;;Удовлетворена, возможно, необходимо изменить уровень сложности заданий. Хочется достичь 100-процентной успеваемости в классе, возможно, засчёт индивидуальных заданий для учеников.  ;Распределение внимания учителя;1;46;1;46;;0.6923076923076923;;;;;;;;;
