;prot_id;satisfaction;wish_to_change;teacher_comments
2229;1597;;;"Довольна тем, как прошел урок, довольна детьми. Не зная какую компетенцию будут наблюдать, я смогла реализовать компетенцию ""Качество обратной связи"" в полном объеме. Заметила, что если самой контролироваь все компетенции, качество урока растет."
894;146;;;На мой взгляд, урок прошел плодотворно. Думаю, что дальнейшей целью будет соблюдение распределения времени на размышление среди учеников каждой группы. Нужно помнить, что ученики все разные и не торопить с ответом слабых детей.
2734;442;;;Отработат навыки с мишенями.
127;149;;;Уроком удовлетворена.
1522;1796;4.0;2.0;Урок достиг целей и задач, был проведен на хорошем методическом уровне. 
2968;2991;4.0;1.0;Думаю менять ничего не нужно. Каждый урок индивидуален. На время речи учителя влияет много факторов.
2783;2934;4.0;1.0;Уроком полностью удовлетворена
2925;209;;;Своей работой удовлетворена. Больше давала высказаться детям. Детям было интересно слушать друг друга.
1377;1009;;;Да, удовлетворена. Возможно использовать продуктивные вопросы для слабых учащихся, хотя для этого необходимо затратить больше времени. Ставлю цель : задавать всем продуктивные вопросы, стараться подбирать вопросы в соответствии с уровнем познавательной активности и уровнем знаний учащихся. Учить строить логические цепочки, сравнивать, обобщать
2463;2282;3.0;3.0;Результтом удовлетворена частично. Пока еще по прежнему средние и сьльные обучающиеся отвечают более развернуто и используют для ответа больше времени, чем слабые обучающиеся. Но и слабые стали отвечать более развернуто. Многие слабые обучающиеся стали использовать больше времени на ответ и если что-то забыли ответить, то просят продолжить и дополнить свой ответ.  Цель продолжить обучать ребят давать более развернутый ответ.
2724;162;;;"Уроком удовлетворена. Продолжаем работу над построением правильного полного ответа. Получается у всех по-разному:кому-то ещё нужна помощь при построении ответа, а кто-то из детей уже умеет правильно подбирать слова по смыслу(""я уверен…"" или ""я предпологаю..."")"
1236;1675;;;Уроком удовлетворена в полной мере, все поставленные задачи достигнуты
1884;2011;;;Не полностью. Возможно, нужно поменять реакцию на ответы учащихся. Путем реакции помогать и направлять ученика к поиску дальнейшей информации или объяснению.
308;45;;;уроком удовлетворена, все дети работали на уроке, задавали вопросы, отвечали, выполняли задание в соответствии с инструкцией. Переходим к следующему протоколу.
2763;2436;4.0;1.0;В целом урок прошел на должном уровне. Скорее всего это из-за отсутствия слабых учеников.
2400;1139;;;Обществознание в 7 классе. Дети сегодня не очень активные.  И все же отвечали правильно. Урок получился обычный. Я довольна.
1931;2243;4.0;1.0;"уроком удовлетворен. Урок прошел в хорошем темпе, работа велась дифференцированно. Цель урока достигнута. Обсудим с коллегой возможность перейти к ""мишеням""."
2781;2678;4.0;2.0;Все намеченные цели были достигнуты. Я думаю, мне удалось решить поставленные задачи, сохранив продуктивную мотивацию учения.
1655;960;;;Не совсем удовлетворён. Будем работать дальше.
1673;1589;;;Да, я удовлетворена уроком. Кое - что можно изменить. Для достижения цели, чтобы улучшить эффективность учебного процесса, я считаю, нужно начинать работу с продуктивных вопросов, а продолжить по репродуктивным вопросам.
2678;2522;3.0;3.0;Нужно контролировать детей при ответе. Ответ может быть правильный, но сформулирован не точно или свосем кратко. Поэтому приходится помогать из-за чего тратится время. Я бы определила для себя попробовать дополнительные приемы для четкого ответа учеников.
949;1931;4.0;3.0;В данном классе только начала работать. Одна из целей уже достигнута: работают и отвечают все ученики.Следующая цель: сократить время на размышление у слабых и средних учеников.Достичь её будет непросто.
591;462;;;В целом я удовлетворена уроком.  На всех этапах урока стимулировала учащихся к сомостоятельности, предпологала включение каждого в деятельность по достижению цели урока.
1119;1732;;;Т.к. на этом уроке не удалось отработать приёмы, продуманные на прошлой встрече т.к. была подготовка к итоговой к/р, поэтомудля мишеней и другие ребята знали какие будут вопросы и подготовились к ним.
1806;895;;;Я удовлетворена работой. Но хотелось бы, чтобы учитель давал больше полной обратной связи ученикам.
1561;2478;4.0;1.0;Да, полностью удовлетворена. 
500;1266;;;Поставленной целью пока неудовлетворена. Следует обратить внимание на слабыхх учащихся, что бы вывести их на более высокий уровень.
2158;1465;;;На уроке необходимо давать более открытую обратную связь.Обратная связь стимулирует мишени продуктивнее работать.
1352;2831;1.0;4.0;Репродуктивных вопросов больше. На следующий урок приготовить продуктивные вопросы.
801;840;;;На уроке отвечали все ученики, всех групп. Время для раздумий у всех разное по объему. Сильный ученик отвечал практически не задумываясь, а слабый даже после длительного раздумья не смог ответить на все вопросы. 
775;2239;4.0;2.0;Уроком прошел продуктивно. Все дети были вовлечены в учебный процесс. В коце урока оформили выставку рисунков.
172;2611;4.0;1.0;Удовлетворены. Увеличить число отвечающих.
2541;500;;;Я полностью доволен результатами. Я хочу активизировать слабых учеников. Я хотел бы создать условия для более активного включения слабых учеников в диалог на уроке. Я понимаю как достичь этой цели
2199;1403;;;В целом уроком удовлетворена. В конце четверти  многие дети активизировались. Цель: продолжить формировать общенациональные  ценности культуры России.  
2230;1412;;;Ответами учеников удовлетворена. 
1801;846;;;Частично удовлетворена. Оценка ответов должна быть развернутой и обоснованной. Похвала должна присутствовать и у взрослых детей на уроке.
823;885;;;Результатом удовлетворены.
207;640;;;При решении поставленных задач были учтены все особенности класса через дифференцированную работу (в парах, группах, индивидуально). Все это помогло каждому включиться в работу и видеть свои результаты.
2990;2802;3.0;1.0;Удовлетворена  
1765;2298;4.0;2.0;"Уроком,да и своей работой в этом классе удовлетворена. Мне нравится развиваться в кометенции "" Тип вопросов"", нравится при подготовке к урокам задумываться над составлением вопросов. Буду продолжать развивать интерес Мишени к моему уроку"
1811;750;;;Уроком удовлетворена. Стараюсь на уроке заметить каждого ученика и дать полную рецензию на ответ.
321;150;;;Удовлетворена своей работой. Мне хотелось бы изменить в своей работе метод подачи материала для ученика с ОВЗ. Цель, которую мне бы хотелось достич: построить работу на уроке такую чтобы сильнуй ученик смог помоч слабому. 
1036;177;;;Павел и Саша на вопросы отвечали не всегда. Были неверные ответы. На уроке вели себя пассивно. Ваня активно отвечал на все вопросы учителя. А также во время ответа других учеников, он тоже был готов отвечать. 
1738;2093;;;Уроком удовлетворена, удовлетворена результатом урока, так как продуктивные вопросы отвечали сильные, слабые и средние учащиеся, в том числе ученики - мишени. Для меня это успех!
789;2958;;;Уроком удовлетворена не на  100%. В спешке забывала сказать ученику ободряющее слово,когда он медлил с ответом. Понимаю на сколько важны такие слова для учащихся.Они придают им уверенности. Думаю, что время для ответов учащихся надо давать смелее больше и не думать, что не успеешь выдать весь запланированный учебный материал. Значит, надо планировать меньший объем. Моя цель: тщательнее отбирать и прорабатывать основной учебный материал и больше вступать в диалог с учениками при прохождении темы урока.
458;3049;4.0;1.0;Уроком удовлетворена. Цели урока достигнуты. С самого начала урока все дети были включены в учебный процесс. На уроке царила добожелательная обстановка, это сбособствовало раскрытию детей и активизации их на уроке. 
2167;1445;;;"Мишени стали активнее вести себя на уроке, погружаются в процесс, участвуют в обсуждении. Вообще, дети стали активнее на уроке. Вопросы подбираются индивидуально для ребят. Успевает поучаствовать в общении почти каждый реб>нок. В качестве пожелания:рассадить ""мишеней"" в классе подальше друг от друга. Возможно, в этом случае деятельность одного и другого будет направлена в нужное русло.."
1037;577;;;Урок прошёл на достаточно высоком уровне. Вниманием учителя был охвачен весь класс. Все учащиеся были включены в работу. Сильные ученики отвечали достаточно быстро. Остальным времени требовалось немного больше.
2097;2314;3.0;3.0;Уроком удовлетворен почти полностью. Понял. Как важна для учащихся обратная связь. Похвала стимулировала учеников. Особенно слабых.
455;3057;;;уроком удовлетворен. Уделять внимание как слабым так и сильным ученикам. Цель-научить сильных учеников помогать слабым и объяснять средним. больше 
1167;2388;4.0;1.0;Урок прошел продуктивно. Уделяя больше внимания мишеням, другие ребята в конце урока сказали, что их мало спрашивали. Поэтому мишени следующий раз надо поменять. Считаю, что слабым на следующих уроках надо дать больше времени на размышление.
2865;2504;3.0;3.0;Усилить работу над правилами речи с детьми слабо мотивированными. 
189;300;;;результатом удовлетворена. Можно развивать другие компетенции. Учитель распределял свое внимание между тремя группами равномерно. Дискриминации не обнаружено. Цель учителя достигнута. 
760;2100;3.0;3.0;Уроком удовлетворена, но думаю, что время на размышление необходимо увеличить. При планировании следующего урока постараюсь рассчитать время на каждого ученика.
1826;755;;;Удовлетворена
341;1606;;;Удовлетворена, замето,что более слабые дети стали больше отвечать на уроках, ведь для них очень важна похвала.
799;598;;;Дети работают на уроке все, отвечают на вопросы учителя. Тема урокасвязана с повторением изученного материала, поэтому учащиеся отвечают быстро.  Добиваться от слабых учащихся меньшего времени на размышление. Оно во многом зависит от сложности поставленного вопроса.
2099;2513;4.0;1.0;Да, я удовлетворена. Уч-ся получили обратную связь, после похвалы., ответы ребят прокоментировала, обратила их внимание на неточности и ошибки. Думаю, что этог позволит уч-ся избежать ошибок при ответе в следующий раз. Оценка подробная важна и когда ученик дает правильные и подробные ответы, так как это стимулирует его на успех. Оценка ответа, а не уча-ся!!! Это тоже важно!
1872;1530;;;Считаю, что не в полную силу отработал урок.
727;614;;;Я не совсем удовлетворена: на уроке многие обучающиеся очень быстро отвечали на вопросы, но, всё же было несколько ребят, которые не ответили ни на один вопрос. Цель: активизировать работу всех обучающихся на уроке. Для ребят, которые не отвечали - увеличить время на размышление, задавать наводящие вопросы. 
1588;2878;4.0;3.0;Уроком удовлетворена. Урок проведен в соответствии с подготовкой учащихся - индивидуальная работа, распределение внимания.
2001;1350;;;Уделила внимание усилиям всех детей. Считаю необходимым давать чаще развернутую оценку группе средних учеников. Слабым ученикам подробнее комментировать ответ, приводя примеры. Цель: увеличить количество развернутной обратной связи для всех групп с большим использованием положительной оценки, не используя холодный эмоциональный фон (но реакция должна быть адекватна событию!). Как достичь цель понимаю.
579;707;;;Игнат и Михаил спокойно реагируют на повышенное внимание учителя.
1153;1961;3.0;2.0;Время на размышление выдерживается для всех групп учащихся. Много времени уходит на ответы по таблице умножения у слабых учащихся ( не могут запомнить). Выучить не могут, необходимо научиться пользоваться подсказкой по таблице.
1822;524;;;Я удовлетворена работой педагога,потому что он умеет общаться с детьми,видеть мир их глазами.Ничего менять не надо в работе учителя,потому что я уверена,что понимание между          учителем и учеником может достигаться путём общения.
2045;2091;4.0;2.0;Уроком я осталась довольна. Вопросы формулировала четко, связь обратная с ребятами была.
641;3045;4.0;1.0;Работой удовлетворена, практически все дети охвачены вниманием учителя. Считаю, что изменять ничего не надо.
2172;1381;;;Уроком удовлетворена. На организационном этапе добавила бы немного юмора, шутки, поблагодарила бы, что все вовремя вернулись с перемены и можно начать урок. Достижимая цель - вовлечь в обсуждении темы и слабых учеников. Понимаю как этого достичь. Вопросы, обращенные им, связывать с жизненными ситуациями и обязательно выделять положительные качества  отвечаемого (типа ты такой внимательный, никто не заметил, а ты увидил или только добрый человек обратит на это внимание и т.д.).
2708;2881;3.0;2.0;Уроком довольна. Обучающийся сильный и по математике, и по русскому языку.. Отвечает быстро, правильно. Но иногда боится ответить неправильно, повисает пауза на уроке. Приходится подбадривать.  
2198;1374;;;Урок понравился. Попытаюсь сохранить такую позицию в дальнейшей работе.
1819;638;;;Я считаю, что на данном уроке были реализованы все поставленные цели. Выбранный темп учебной работы на уроке позволил добиться поставленных задач. Постепенно увеличивалась степень сложности заданий. Разноуровневые задания помогли создать в классе благоприятный климат. По моему мнению, урок прошел на высоком эмоциональном уровне: и учащиеся, и учитель получили огромное удовольствие от обучения. 
944;1848;;;Уроком удовлетворена. Вниманием были охвачены все учащиеся. Сильный ученик отвечал быстро на вопросы. Средние немного задумывались при ответе. У слабых детей уходило чуть больше времени на обдумывание, чем у остальных. Продолжать работу со всеми учениками на уроке. Как достичь цель хорошо понимаю.
2418;480;;;Структура и тип урока соответствовали целям и задачам урока. Учителю удалось вовлечь учащихся. Самообразовательная работа детей показала, умение учащихся выделять существенные признаки основных понятий, заинтересованность и активность учащихся на уроке.
32;999;;;В целам работой удовлетворена. В течение урока внимание учителя распределено между всеми учащимися примерно одинаково. Все учащиеся активно включены в деятельность
423;1872;;;Уроком удовлетворена, дети выполнили задания.
67;1133;;;Я уроком удовлетворена .Внимание учителя было распределенно ко всем учащимся . Учащиеся работали активно. Я ставлю перед собой цель , добиваться того, чтобы на моих уроках  ребята по окончанию урока могли подвести итог своей работы.
1631;1714;;;На уроке использовались два типа вопросов. На продуктивные вопросы отвечали две мишени (Саша и Вова). Уроком я удовлетворен. Дальнейшая цель : проследить за поведением мишеней и повысить их активность на уроках. Для этого я предложу им задание с взаимопроверкой.
2339;2519;3.0;3.0;Удовлетворена. Были некоторые недочеты, но ответы были в основном полными, что очень порадовало.
205;1076;;;В данном классе есть сильные, слабые и средние ученики. Работой на уроке удовлетворены. Поставленные цели были достигнуты.
1791;98;;;Нужно проявлять больше полных реакций 
2645;1853;;;Увеличить количество отвечавших учеников. Добиться выполнения правила с первой попытки, конкретнее формулировать вопросы
1408;189;;;Удовлетворена. Ничего не нужно менять.
1880;1516;;;Удовлетворена. Обратная связь была. Учащиеся с базовым уровнем справились. 
1132;505;;;Уроком удовлетворена. Среднее время пауз для мишеней было достаточно, так как время затрачено немного, но результат превзошел ожидания, мишени активны, заинтересованы.
1256;318;;;Данным уроком удовлетворены, высокая мотивация работы на уроке. Репродуктивные ответы сформулированы как основа репродуктивных вопросов. Репродуктивные вопросы задавались с целью рефлексии урока.
806;682;;;"Подтянуть ""желтых"" к уровню ""зеленых"". Для ""желтых"" уменьшать время на обдумывание."
2775;2736;;;Своим уроком удовлетворен. Не все ответы детей были правильными и полными, но это помогло мне определить свою дальнейшую цель. Я считаю, что это самое главное - знать, чему надо учиться.
147;390;;;Уроком довольна, все дети охвачены.  
739;672;;;Время на размышление дается достаточно, но это не всегда помогает. Чаще приходится задавать наводящие вопросы, чтобы успеть опросить других учащихся.
2430;2031;;;"Очень крутой урок. Было столько видов деятельности, наглядности и личной активности школьников, что можно считать его ""открытым"", показательным уроком. Очень довольна. Презентация сменилась наглядностью. Ребята пропевали периодами отдельные куплеты из разных песен. Слушали звучание фортепиано. Успели поработать у доски, рисовали ноты и ключ. Считаю, что охват класса был практически 100 %. Ученики отвечали наперебой, с азартом. Динамика положительная."
2852;443;;;"Продолжать работус мишенями, отрабатывая навыки ""Правила речи""."
1818;656;;;Считаю, что все поставленные на уроке цели и задачи были реализованы. Учащиеся усвоили материал, не было перегрузок, создавалась ситуация успеха. На протяжении всего урока учебное время использовалось эффективно.
2166;1438;;;"Уроком удовлетворена. Считаю, что ученика никогда не надо оставлять без внимания, можно найти положительное в каждом ответе. Целью себе я поставила: повысить уровень положительных реакций на ответы ""мишеней"" и не только, давать более полную обратную связь. Результат методики ясен, но но с одного раза добиться эффекта сложно. Буду продолжать работу в этом направлении."
1516;1750;;;В целом достаточно удовлетворена, но , думаю, нужно увеличить количество групповых работ на уроке, чтобы у каждого была возможность взаимодействовать и отвечать
1803;626;;;  Да, уроком осталась довольна!Этапы урока были тесно взаимосвязаны между собой, чередовались различные виды деятельности. Умственные действия опирались и подкреплялись практическими. Учебный материал на протяжении всего урока работал на организацию посильного поиска и исследования пятиклассников, соответствовал их жизненному опыту.      На уроке формировались следующие компетентности: коммуникативная, информационная, компетентность разрешения проблем
2738;1859;;;Уроком удовлетворена. Задействовать при ответах больше обучающихся. Переформулировать вопрос, если возникают трудности при ответах.
2170;1456;;;Удовлетворена. И уроком и своим внутренним изменением. Замечаю,что с тем,как я открываюсь ученикам,больше даю им полной связи,растёт количество правильных ответов.Не уверена пока на 100 процентов,что от моей полноты реакции это зависит,но тем не менее это так. Уже спокойнее,без внутреннего протеста говорю себе,что буду продолжать развивать в себе эту компетенцию
2485;3034;3.0;3.0;Работой удовлетворена, но, конечно, есть еще над чем работать. Связная речь у слабых учеников недостаточно развита, поэтому им сложно было отвечать на вопросы достаточно полными, развёрнутыми предложениями. Ответы слабых учеников были краткими, по сути. Считаю полезным в дальнейшем уделять больше внимания на развитие речи детей, рассуждению. Слабых учеников приглашать на консультации, дополнительные занятия.
832;971;;;Протокол показал, что даю недостаточно времени на размышление учащимся. Своим результатом, конечно, не совсем доволен. Буду работать над этим. Я ведь был уверен, что с этой компетенцией у меня всё в порядке.
634;2612;4.0;2.0;Уроком удовлетворена. Учитель работал со многими учениками.  
1505;1903;3.0;2.0;Своим уроком я удовлетворён. На основне самоанализа своего урока я пришёл к выводу, что нужно как можно больше задействовать в ответах средних и слабых учеников.
2585;2376;3.0;2.0;Своим уроком удовлетворена. Понимаю решение в развитии данной компетенции. Детишки только пришли в школу, учатся второй месяц, поэтому, я уверена в этом, время речи будет нарастать. Радует сейчас то, что дети раскованы, нет страха перед ответом.
30;541;;;Для сильного ученика нужна для самостоятельной работы карточка, чтобы ученик не отвлекался
854;587;;;Уроком удовлетворена. В уроке менять ничего не надо, цель была достигнута. Для достижения поставленной цели необходимо использовать разные методы и приемы.
310;601;;;Уроком удовлетворена. Цель- посмотреть взаимодействие класса и учителя  понять какие изменения в ведении своих уроков я должна внести по отношению к этому классу.
1433;289;;;Не совсем удовлетворена. Недостаточное количество продуктивных вопросов было задано. 
1680;1107;;;Удовлетворена.  Но нужно давать больше самостоятельности учащимся. Возможно чаще организовывать работу в группе, чтобы каждый мог учиться друг у друга, не боялся высказать своё, пусть даже ошибочное мнение.
978;2167;;;Урок чтения не совсем подошел под этот протокол. Дети читали. Повторим это протокол на другом предмете.
2468;2204;3.0;2.0;Уроком в целом удовлетворена. На уроке присутствовали различные формы работы. На уроке присутствовала устная и письменная работа. Для сильных учеников были предложены задания повышенного уровня. На уроке  шла работа по развитию УУД. Вычислительные навыки развивались и закреплялись на каждом этапе урока.
2259;2600;;;Работой не совсем удовлетворена. Количество учеников в классе очень большое, и отследить качество обратной связи очень тяжело. При ознакомлении новой темы лучше все-таки поделить их на группы
2817;2807;3.0;3.0;В основном уроком удовлетворена. У сильного ученика получается почти всегда давать полные ответы. Остальные стараются дотянутся до уровня сильного. Это не всегда получается. Будем работать.
485;1229;;;"Необходимо проработать работу с ""мишенями"". Задействовать слабых учеников на более активную деятельность."
2495;2772;3.0;2.0;Дети работали неплохо. Все были активны. Дружно отвечали на вопросы.
1244;313;;;Удовлетворена. Думаю больше задавать продуктивных вопросов. Цель -приблизительно одинакове количество репродуктивных и продуктивных вопросов.
1465;1595;;;Слабым детям труднее давать ответы на продуктивные вопросы: они теряются, схлопываются. Легче даются ответы на такие вопросы детям с высоким вербальным интеллектом. Для себя определила цель: при подготовке к занятиям чаще определять продуктивные вопросы и чаще просить детей давать письменные ответы
1864;1519;;;Частично удовлетворина.Попытаюсь вовлечь учеников в совместное оценивание ответа, предложу разработать интересные формы оценивания и формы обратной связи. Цель: через индивидуальную обратную связь к глубокому пониманию изучаемого. Пониманию, что надо использовать разнообразные приемы обратной связи: различные формы похвалы. замечаний. более детальное проникновение в суть ответа.
1652;637;;;Считаю, что на уроке полностью были использованы воспитательные возможности содержания учебного материала. Анализ произведений, поступков героя способствовал развитию личностных УУД. В конце урока предложила дифферинцированное домашнее задание. Считаю, что цель и задачи, поставленные перед уроком, достигнуты в полной мере.
723;942;;;Работа на уроке прошла удовлетворительно. Необходимо подбирать еще более сложные задания, требующие врямя на размышление, активизироваь деятельность слабых учащихся. Строить урок на дифференциации заданий для обучающихся.
2295;801;;;Уроком удовлетворена Нужно работать над полными ответами детей. Цель моей работы: работать над развитием речи глубже, больше. Работа проводится, но для достижения цели  необходимо применять ряд заданий.
73;355;;;все получилось. Все ученики класса были охвачены вниманием учителя
2719;2993;4.0;1.0;Я удовлетворена, способ интересный.Развивает внимание. Несколько учеников , которые ранее молчали смогли дать ответ на вопрос. Цель: использовать метод на уроках.
2530;1144;;;Родной русский язык в 7 классе. Обычный урок, были желающие ответить, кого то спрашивала сама. Хотелось бы, чтобы дети были активнее. Над этим и буду работать.
63;1117;;;Швец Л.Д.:  Я удовлетворена сформированностью компетенции распределение внимания (базовый уровень).  Все учащиеся класса получают внимание учителя. Но нужно стремиться уменьшать количество словесных взаимодействий, которые касаются дисциплины.
2049;1942;2.0;3.0; Стараться всегда давать полную обратную связь (у меня лишь в половине случаев).Цель: найти за что похвалить учащихся , даже если они ошиблись (за активность, за смелость ,т.д)
2251;2213;3.0;1.0;Уроком удовлетворена, но хочу в будущем, используя различные приёмы работы, смотевировать на учебную деятельность не только сильных, но и слабых учеников.
1228;965;;;Удовлетворена. Цель достигнута. Пока ничего менять не буду.
45;265;;;Я полностью удовлетворена уроком, можно ничего не менять, все учащиеся взаимодействовали.
2836;3076;4.0;1.0;Уроком удовлетворена, очень эффективный метод для развития речи. Чаще использовать эту компетенцию на других уроках.
711;641;;;Была создана доброжелательная и раскрепощенная атмосфера на уроке, дети были свободны в выражении своих мыслей. Следует отметить, что некоторые ответы обучающихся были односложными. Наблюдение за полнотой устных ответов обучающихся показало, что необходимо было предложить образец полного доказательного ответа.
452;3047;3.0;2.0;Удовлетворена, но можно увеличть количество взаимодействий со слабыми учениками.
222;328;;;Охват вниманием классабыл на достаточном уровне.
81;41;;;Удовлетворена уроком, Урок прошел в хорошем темпе.                                                                Продолжим кураторскую методику с прицельного протокола.Как и что делать уже обсудили.
2197;1363;;;Было много наводящих вопросов. У учащихся было мало времени подумать самостоятельно 
1613;1650;;;удовлетворена, цель для дальнейшей работы- активность детей при ответе на продуктивные вопросы. Пока думаю, как можно этого достичь
2716;2719;4.0;2.0;Удовлетворена, активность детей в классе изменилась, конечно, в положительную сторону. Дети настроены на урок, не расстраиваются, если ответили неправильно, обязательно на следущий урок тянут руку, чтобы ответить по вопросу предидущего урока. Активно задают вопросы, не стесняются, даже более слабые дети класса стараются это делать.
1938;2688;3.0;3.0;Уроком удовлетворена. Перед собой ставлю цель: больше давать ученикам полную похвалу. 
338;1066;;;"На данном уроке была использована технология опроса учеников "" опрос по цепочке"". Каждый ребёнок был задействован в работе, и я смогла увидеть, что обучающийся понял материал и сможет применить данные знания в работе. Более слабые ученики имели представление и могли ориентироваться по теме."
429;2479;4.0;1.0;Частично удовлетворен. Учитель взаимодействовал со всеми учениками. Работал пости весь класс. Не проявили интерес к уроку некоторые учащиеся.Ставим перед собой цель ,как исправить эту ситуацию.
414;1875;3.0;3.0;Класс средний, урок прошел как всегда, я удовлетворена. 
1464;411;;;Развивать умение отвечать на продуктивные вопросы, продлжать развивать критическое мышление обучающихся.
2785;2636;;;В случаях, когда ученик не готов к уроку, он чаще игнорирует правило. В целом ученики пытаются соблюдать правило речи.                                                  Цель: расширять словарный запас учащихся через расширение кругозора. Для достижения цели использую словари, диктанты терминов, кроссворды.  
